"idVotacao";"uriVotacao";"data";"descricao";"proposicao_id";"proposicao_uri";"proposicao_titulo";"proposicao_ementa";"proposicao_codTipo";"proposicao_siglaTipo";"proposicao_numero";"proposicao_ano"
"1006391-32";"https://dadosabertos.camara.leg.br/api/v2/votacoes/1006391-32";"2024-02-20";"Aprovado requerimento n. 1884/2023 do Sr. Fábio Macedo e outros que requer urgência para o PL 10106/2018, do Senado Federal, que “altera a Lei nº 8.080, de 19 de setembro de 1990, para dispor sobre a obrigatoriedade de publicação na internet de listas de pacientes que serão submetidos a procedimentos cirúrgicos eletivos no âmbito do Sistema Único de Saúde (SUS), e a Lei nº 8.429, de 2 de junho de 1992 (Lei de Improbidade Administrativa), para caracterizar o descumprimento dessa disposição como ato de improbidade administrativa”.";"1006391";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/1006391";"PL 742/2015";"Dispõe sobre a obrigatoriedade de divulgação, em sítio eletrônico oficial de acesso irrestrito, das listagens dos pacientes que aguardam consultas com especialistas, exames e intervenções cirúrgicas em instituições de qualquer natureza que integram o Sistema Único de Saúde.";"139";"PL";"742";"2015"
"1029052-77";"https://dadosabertos.camara.leg.br/api/v2/votacoes/1029052-77";"2024-06-19";"Aprovado o Parecer.";"1029052";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/1029052";"PL 761/2015";"Acrescenta o inciso VI, ao § 1º do art. 15º da Lei nº 10.741, de 1º de outubro de 2003, Estatuto do Idoso, para possibilitar convênio entre o Sistema Único de Saúde e entidades privadas que especifica.";"139";"PL";"761";"2015"
"1195593-87";"https://dadosabertos.camara.leg.br/api/v2/votacoes/1195593-87";"2024-04-10";"Aprovado o Parecer, apresentou voto em separado o Deputado Augusto Coutinho.";"1195593";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/1195593";"PL 988/2015";"Acrescenta  dispositivo  à  lei      n.° 8.856, de 1° de março de 1.994, a fim de dispor sobre o piso salarial dos profissionais fisioterapeutas e terapeutas ocupacionais.";"139";"PL";"988";"2015"
"1230251-112";"https://dadosabertos.camara.leg.br/api/v2/votacoes/1230251-112";"2024-06-18";"Aprovada a Redação Final.";"1230251";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/1230251";"PL 1450/2015";"Altera a Lei nº 12.608, de 2012, que institui a Política Nacional de Proteção e Defesa Civil, para dispor sobre o Sistema Nacional de Informações e Monitoramento de Desastres.";"139";"PL";"1450";"2015"
"1230251-97";"https://dadosabertos.camara.leg.br/api/v2/votacoes/1230251-97";"2024-05-08";"Aprovado o Parecer.";"1230251";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/1230251";"PL 1450/2015";"Altera a Lei nº 12.608, de 2012, que institui a Política Nacional de Proteção e Defesa Civil, para dispor sobre o Sistema Nacional de Informações e Monitoramento de Desastres.";"139";"PL";"1450";"2015"
"1230375-94";"https://dadosabertos.camara.leg.br/api/v2/votacoes/1230375-94";"2024-06-12";"Aprovado o Parecer. Apresentou voto em separado o Deputado Geraldo Resende, em 2016.";"1230375";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/1230375";"PL 1460/2015";"Dispõe sobre a obrigatoriedade de os estabelecimentos de ensino, públicos e privados, em funcionamento no território nacional, manterem aparelho desfibrilador externo automático.";"139";"PL";"1460";"2015"
"1301141-69";"https://dadosabertos.camara.leg.br/api/v2/votacoes/1301141-69";"2024-04-16";"Rejeitado o Requerimento de Retirada de Pauta. Resultado:  3 votos ""Sim"", 38 votos ""Não"". Quórum de votação: 41 votos e 5 Obstruções.";"1301141";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/1301141";"PL 1751/2015";"Cria obrigação aos Conselhos Fiscal e de Administração das empresas públicas ou sociedades de economia mista, bem como suas subsidiárias, controladas e coligadas, da Administração Pública Federal.";"139";"PL";"1751";"2015"
"1301443-80";"https://dadosabertos.camara.leg.br/api/v2/votacoes/1301443-80";"2024-04-16";"Aprovado o Parecer.";"1301443";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/1301443";"PL 1769/2015";"Altera a Lei 10.436, de 24 de abril de 2002.";"139";"PL";"1769";"2015"
"1306608-48";"https://dadosabertos.camara.leg.br/api/v2/votacoes/1306608-48";"2024-06-05";"Aprovado o Parecer.";"1306608";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/1306608";"PL 1867/2015";"Institui o Fundo do Apostador e dá outras providências.";"139";"PL";"1867";"2015"
"1732982-72";"https://dadosabertos.camara.leg.br/api/v2/votacoes/1732982-72";"2024-03-19";"Aprovada a Redação Final.";"1732982";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/1732982";"PL 3009/2015";"Fica a Festa do Sairé,  realizada no distrito de Alter do Chão, município de Santarém, Estado do Pará, reconhecida como Patrimônio Cultural Imaterial do Brasil, de acordo com o Artigo 215 e o Artigo 216 da Constituição Federal.";"139";"PL";"3009";"2015"
