uriProposicao,tema
https://dadosabertos.camara.leg.br/api/v2/proposicoes/510035,Saúde
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2416830,Administração Pública
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2416830,Direito e Justiça
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2416830,"Política, Partidos e Eleições"
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2416830,Trabalho e Emprego
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2416804,Economia
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2416804,Finanças Públicas e Orçamento
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2416804,"Indústria, Comércio e Serviços"
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2416826,Direito Civil e Processual Civil
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2416826,Economia
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2416876,Saúde
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2416916,Direitos Humanos e Minorias
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2416916,Saúde
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2416935,"Viação, Transporte e Mobilidade"
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417006,"Viação, Transporte e Mobilidade"
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417007,Homenagens e Datas Comemorativas
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417007,"Viação, Transporte e Mobilidade"
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417045,"Energia, Recursos Hídricos e Minerais"
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417048,Direito e Defesa do Consumidor
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417048,"Indústria, Comércio e Serviços"
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417068,"Viação, Transporte e Mobilidade"
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417072,"Viação, Transporte e Mobilidade"
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417156,Economia
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2416866,Relações Internacionais e Comércio Exterior
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2416867,Direitos Humanos e Minorias
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2416933,Administração Pública
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2416933,Direito Civil e Processual Civil
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2416952,Administração Pública
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2416952,Defesa e Segurança
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2416970,Educação
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2416973,Educação
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2416982,Educação
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2416983,Economia
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2416983,Finanças Públicas e Orçamento
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2416984,Economia
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2416984,Finanças Públicas e Orçamento
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2416986,Finanças Públicas e Orçamento
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2416986,Saúde
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417001,"Arte, Cultura e Religião"
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417001,Economia
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417001,Finanças Públicas e Orçamento
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417003,"Arte, Cultura e Religião"
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417003,Economia
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417003,Finanças Públicas e Orçamento
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417005,"Arte, Cultura e Religião"
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417005,Economia
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417005,Finanças Públicas e Orçamento
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417021,"Ciência, Tecnologia e Inovação"
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417021,Educação
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417023,"Ciência, Tecnologia e Inovação"
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417023,Defesa e Segurança
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417056,Administração Pública
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417056,Defesa e Segurança
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417057,Educação
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417062,"Agricultura, Pecuária, Pesca e Extrativismo"
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417062,Previdência e Assistência Social
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417064,Administração Pública
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417064,Defesa e Segurança
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417074,Educação
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417074,Saúde
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417074,Trabalho e Emprego
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417099,Administração Pública
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417117,Finanças Públicas e Orçamento
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417117,Saúde
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417136,Economia
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417136,Finanças Públicas e Orçamento
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417137,Economia
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417137,Finanças Públicas e Orçamento
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417139,Economia
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417139,Finanças Públicas e Orçamento
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417157,Comunicações
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417157,Saúde
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417158,Saúde
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417159,"Arte, Cultura e Religião"
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417160,Economia
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417160,Finanças Públicas e Orçamento
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417161,Previdência e Assistência Social
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417162,Saúde
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417163,Administração Pública
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417163,Finanças Públicas e Orçamento
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417164,"Arte, Cultura e Religião"
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417164,Finanças Públicas e Orçamento
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417165,Educação
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417166,Administração Pública
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417166,Finanças Públicas e Orçamento
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417175,Educação
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417185,Relações Internacionais e Comércio Exterior
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2416988,Comunicações
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2416988,Direito e Justiça
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2416988,"Política, Partidos e Eleições"
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417120,Defesa e Segurança
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417121,"Ciência, Tecnologia e Inovação"
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417121,Defesa e Segurança
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417186,"Arte, Cultura e Religião"
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417186,Homenagens e Datas Comemorativas
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417186,Turismo
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2416863,Direito Penal e Processual Penal
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2416868,Direitos Humanos e Minorias
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2416869,Direito Penal e Processual Penal
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417177,Direitos Humanos e Minorias
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417177,Esporte e Lazer
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2416871,Direito Penal e Processual Penal
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417195,Homenagens e Datas Comemorativas
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2416872,Direito Penal e Processual Penal
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417205,Direitos Humanos e Minorias
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417205,Educação
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417205,Saúde
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417207,Homenagens e Datas Comemorativas
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417213,Administração Pública
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417216,Defesa e Segurança
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417216,Direito Penal e Processual Penal
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2416874,Direito Penal e Processual Penal
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417218,Direito e Defesa do Consumidor
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417218,Direitos Humanos e Minorias
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417218,Economia
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417262,Direitos Humanos e Minorias
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417262,"Viação, Transporte e Mobilidade"
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2416893,Direito Penal e Processual Penal
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2416899,Direito Penal e Processual Penal
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417279,Defesa e Segurança
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417279,Trabalho e Emprego
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417288,Educação
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417288,Saúde
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417288,Trabalho e Emprego
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417190,Defesa e Segurança
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417190,Educação
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2416901,Defesa e Segurança
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2416901,Direito Penal e Processual Penal
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2416901,Direitos Humanos e Minorias
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2416865,Comunicações
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2416873,Direito Penal e Processual Penal
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417241,"Arte, Cultura e Religião"
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417243,"Ciência, Tecnologia e Inovação"
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2416877,Meio Ambiente e Desenvolvimento Sustentável
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2416877,"Viação, Transporte e Mobilidade"
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417244,"Arte, Cultura e Religião"
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417245,"Arte, Cultura e Religião"
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417250,"Arte, Cultura e Religião"
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417251,"Arte, Cultura e Religião"
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417252,"Arte, Cultura e Religião"
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417253,"Arte, Cultura e Religião"
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417254,"Arte, Cultura e Religião"
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417255,"Arte, Cultura e Religião"
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417258,"Arte, Cultura e Religião"
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417259,"Arte, Cultura e Religião"
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417260,"Arte, Cultura e Religião"
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417261,"Arte, Cultura e Religião"
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417239,"Arte, Cultura e Religião"
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417264,"Arte, Cultura e Religião"
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417265,"Arte, Cultura e Religião"
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417266,"Arte, Cultura e Religião"
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417201,"Energia, Recursos Hídricos e Minerais"
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417202,Defesa e Segurança
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417267,"Arte, Cultura e Religião"
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417268,"Arte, Cultura e Religião"
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417269,"Arte, Cultura e Religião"
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417271,"Arte, Cultura e Religião"
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417270,"Arte, Cultura e Religião"
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417272,"Arte, Cultura e Religião"
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417273,"Arte, Cultura e Religião"
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417274,"Arte, Cultura e Religião"
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417295,Comunicações
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417275,"Arte, Cultura e Religião"
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417199,Administração Pública
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417199,Finanças Públicas e Orçamento
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417191,Saúde
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417299,Comunicações
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417302,Comunicações
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417303,Comunicações
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417306,Comunicações
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417304,Comunicações
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417300,Comunicações
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417298,Comunicações
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417296,Comunicações
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417294,Comunicações
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417200,Saúde
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417212,Saúde
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417230,Educação
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417230,Finanças Públicas e Orçamento
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417232,Finanças Públicas e Orçamento
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417232,"Indústria, Comércio e Serviços"
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417256,Finanças Públicas e Orçamento
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417256,"Indústria, Comércio e Serviços"
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2416879,Direitos Humanos e Minorias
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417257,Finanças Públicas e Orçamento
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417257,"Indústria, Comércio e Serviços"
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417318,"Viação, Transporte e Mobilidade"
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2416881,Direito Penal e Processual Penal
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2416884,Direito Penal e Processual Penal
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417367,"Ciência, Tecnologia e Inovação"
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417367,Defesa e Segurança
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417369,Defesa e Segurança
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2416910,Defesa e Segurança
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2416909,Homenagens e Datas Comemorativas
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2416909,"Viação, Transporte e Mobilidade"
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2416914,Homenagens e Datas Comemorativas
