proposicao_id,descricao
1006391,"Aprovado requerimento n. 1884/2023 do Sr. Fábio Macedo e outros que requer urgência para o PL 10106/2018, do Senado Federal, que “altera a Lei nº 8.080, de 19 de setembro de 1990, para dispor sobre a obrigatoriedade de publicação na internet de listas de pacientes que serão submetidos a procedimentos cirúrgicos eletivos no âmbito do Sistema Único de Saúde (SUS), e a Lei nº 8.429, de 2 de junho de 1992 (Lei de Improbidade Administrativa), para caracterizar o descumprimento dessa disposição como ato de improbidade administrativa”."
1029052,Aprovado o Parecer.
1195593,"Aprovado o Parecer, apresentou voto em separado o Deputado Augusto Coutinho."
1230251,Aprovada a Redação Final.
1230251,Aprovado o Parecer.
1230375,"Aprovado o Parecer. Apresentou voto em separado o Deputado Geraldo Resende, em 2016."
1301141,"Rejeitado o Requerimento de Retirada de Pauta. Resultado:  3 votos ""Sim"", 38 votos ""Não"". Quórum de votação: 41 votos e 5 Obstruções."
1301443,Aprovado o Parecer.
1306608,Aprovado o Parecer.
1732982,Aprovada a Redação Final.
1741184,Aprovado o Parecer.
1806152,"Aprovado o Parecer, com o voto contrário do Deputado Pastor Henrique Vieira."
2017315,Aprovado o Parecer.
2017317,Aprovado o Parecer.
2023749,Aprovado o Parecer.
2024910,Aprovado o Parecer.
2052992,Aprovado o Parecer.
2055642,Aprovado o Parecer.
2075025,"Aprovado o Parecer, com subemenda de Relatora apresentada no plenário da comissão."
2075456,Aprovada a Redação Final.
2076230,Aprovado o Parecer.
2076623,Aprovado o Parecer.
2076875,"Aprovado o Parecer com o seguinte resultado:  11 votos ""Sim"", 4 votos ""Não"". Quórum de votação: 15 votos."
2077165,Alteração do Regime de Tramitação desta proposição em virtude da Aprovação do REQ 1814/2024.
2077448,Aprovado o Parecer.
2078134,Aprovada a Redação Final.
2078309,Aprovado o Parecer.
2079085,"Aprovado requerimento n. 1884/2023 do Sr. Fábio Macedo e outros que requer urgência para o PL 10106/2018, do Senado Federal, que “altera a Lei nº 8.080, de 19 de setembro de 1990, para dispor sobre a obrigatoriedade de publicação na internet de listas de pacientes que serão submetidos a procedimentos cirúrgicos eletivos no âmbito do Sistema Único de Saúde (SUS), e a Lei nº 8.429, de 2 de junho de 1992 (Lei de Improbidade Administrativa), para caracterizar o descumprimento dessa disposição como ato de improbidade administrativa”."
2079477,"Rejeitado o Requerimento de Retirada de Pauta. Resultado: 37 votos ""Não"". Quórum de votação: 37 votos e 5 Obstruções."
2079477,"Rejeitado o Requerimento de Retirada de Pauta. Resultado:  16 votos ""Sim"", 28 votos ""Não"". Quórum de votação: 44 votos."
2079477,"Aprovado o Parecer com o seguinte resultado:  34 votos ""Sim"", 13 votos ""Não"". Quórum de votação: 47 votos."
2080269,Aprovado o Parecer.
2080678,Aprovado o Parecer.
2081852,Rejeitado o Requerimento de Retirada de Pauta.
2081852,Aprovado o Parecer com Complementação de Voto.
2085540,"Aprovado o Parecer, apresentou voto em separado o Deputado Delegado Waldir,  com o voto contrário do Deputado Pastor Henrique Vieira e da Deputada Duda Salabert."
2086025,"Aprovado requerimento n. 1884/2023 do Sr. Fábio Macedo e outros que requer urgência para o PL 10106/2018, do Senado Federal, que “altera a Lei nº 8.080, de 19 de setembro de 1990, para dispor sobre a obrigatoriedade de publicação na internet de listas de pacientes que serão submetidos a procedimentos cirúrgicos eletivos no âmbito do Sistema Único de Saúde (SUS), e a Lei nº 8.429, de 2 de junho de 1992 (Lei de Improbidade Administrativa), para caracterizar o descumprimento dessa disposição como ato de improbidade administrativa”."
2086181,"Aprovado o Parecer, apresentaram votos em separado os Deputados Capitão Augusto e Junio Amaral."
2086476,Aprovado o Parecer.
2088378,Aprovado o Parecer.
2088410,"Aprovado requerimento n. 1884/2023 do Sr. Fábio Macedo e outros que requer urgência para o PL 10106/2018, do Senado Federal, que “altera a Lei nº 8.080, de 19 de setembro de 1990, para dispor sobre a obrigatoriedade de publicação na internet de listas de pacientes que serão submetidos a procedimentos cirúrgicos eletivos no âmbito do Sistema Único de Saúde (SUS), e a Lei nº 8.429, de 2 de junho de 1992 (Lei de Improbidade Administrativa), para caracterizar o descumprimento dessa disposição como ato de improbidade administrativa”."
2088412,"Aprovado requerimento n. 1884/2023 do Sr. Fábio Macedo e outros que requer urgência para o PL 10106/2018, do Senado Federal, que “altera a Lei nº 8.080, de 19 de setembro de 1990, para dispor sobre a obrigatoriedade de publicação na internet de listas de pacientes que serão submetidos a procedimentos cirúrgicos eletivos no âmbito do Sistema Único de Saúde (SUS), e a Lei nº 8.429, de 2 de junho de 1992 (Lei de Improbidade Administrativa), para caracterizar o descumprimento dessa disposição como ato de improbidade administrativa”."
2109967,Aprovado o Parecer.
2111199,Aprovado o Parecer.
2111932,Aprovado o Parecer.
2116964,Aprovado o Parecer.
2122656,"Aprovado requerimento n. 1884/2023 do Sr. Fábio Macedo e outros que requer urgência para o PL 10106/2018, do Senado Federal, que “altera a Lei nº 8.080, de 19 de setembro de 1990, para dispor sobre a obrigatoriedade de publicação na internet de listas de pacientes que serão submetidos a procedimentos cirúrgicos eletivos no âmbito do Sistema Único de Saúde (SUS), e a Lei nº 8.429, de 2 de junho de 1992 (Lei de Improbidade Administrativa), para caracterizar o descumprimento dessa disposição como ato de improbidade administrativa”."
2123646,"Rejeitado o Requerimento de Retirada de Pauta. Resultado: 41 votos ""Não"". Quórum de votação: 41 votos e 12 Obstruções."
2123646,Aprovado o Parecer.
2123646,Aprovada a Redação Final.
2128135,"Rejeitado o Requerimento de Retirada de Pauta. Resultado:  6 votos ""Sim"", 6 votos ""Não"". Quórum de votação: 12 votos."
